Name,Region,Municipality,URL,Latitude,Longitude
Δημοτική Πλαζ Αλεξανδρούπολης,Π.Ε. ΕΒΡΟY [1],Δήμος Αλεξανδρούπολης,,,
Κρυονέρι,Π.Ε. ΡΟΔΟΠΗΣ [5],Δήμος Μαρωνείας-Σαπών,,40.9050302,25.4271089
Αρωγή,Π.Ε. ΡΟΔΟΠΗΣ [5],Δήμος Κομοτηνής,,40.9497844,25.1693347
Μέση,Π.Ε. ΡΟΔΟΠΗΣ [5],Δήμος Κομοτηνής,,40.9820068,25.2102581
Φανάρι/Camping,Π.Ε. ΡΟΔΟΠΗΣ [5],Δήμος Κομοτηνής,,,
Φανάρι/Ιουλία,Π.Ε. ΡΟΔΟΠΗΣ [5],Δήμος Κομοτηνής,,,
Άβδηρα/Πόρτο Μόλο,Π.Ε. ΞΑΝΘΗΣ [5],Δήμος Αβδήρων,,,
Λεύκιππος,Π.Ε. ΞΑΝΘΗΣ [5],Δήμος Αβδήρων,,40.9439692,24.9936344
Μάνδρα,Π.Ε. ΞΑΝΘΗΣ [5],Δήμος Αβδήρων,,40.9961854,24.9926518
Μυρωδάτο,Π.Ε. ΞΑΝΘΗΣ [5],Δήμος Αβδήρων,,40.9793278,24.9292868
Μάγγανα,Π.Ε. ΞΑΝΘΗΣ [5],Δήμος Τοπείρου,,40.9434383,24.8710529
Αμμόγλωσσα Κεραμωτή/Paralia Beach,Π.Ε. ΚΑΒΑΛΑΣ [9],Δήμος Νέστου,,,
Μπάτης,Π.Ε. ΚΑΒΑΛΑΣ [9],Δήμος Καβάλας,,40.9156834,24.379102
Περιγιάλι,Π.Ε. ΚΑΒΑΛΑΣ [9],Δήμος Καβάλας,,40.9482064,24.4300973
Τόσκα/Tosca Beach,Π.Ε. ΚΑΒΑΛΑΣ [9],Δήμος Καβάλας,,,
Αμμόλοφοι,Π.Ε. ΚΑΒΑΛΑΣ [9],Δήμος Παγγαίου,,40.8137798,24.2963507
Νέα Ηρακλείτσα,Π.Ε. ΚΑΒΑΛΑΣ [9],Δήμος Παγγαίου,,40.8654044,24.3165353
Νέα Πέραμος,Π.Ε. ΚΑΒΑΛΑΣ [9],Δήμος Παγγαίου,,40.841819,24.3055829
Σαρακήνα,Π.Ε. ΚΑΒΑΛΑΣ [9],Δήμος Παγγαίου,,,
Οφρύνιο/Τούζλα,Π.Ε. ΚΑΒΑΛΑΣ [9],Δήμος Παγγαίου,,,
